track_name,artists,Rank,Year,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
'til you can't,cody johnson,22,2024,02HqnDssYA62iGapkpJIkJ,Country Car Hits,1,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country
(everything i do) i do it for you,bryan adams,36,2022,077QV0UtmRfVEw6kFvminm,90's Music Grandi Successi,2,394133,False,0.526,0.365,1,-12.605,1,0.028,0.0775,1.37e-05,0.0618,0.254,131.251,4,rock
(i've had) the time of my life,glee cast,19,2010,1wYDz3NuqlGxPnQDX8OuV6,"Glee: The Music, Volume 4",43,277560,False,0.459,0.77,9,-5.993,1,0.0472,0.0765,0.0,0.0879,0.168,110.706,4,club
(sittin' on) the dock of the bay,otis redding,12,2021,3zBhihYUHBmGd2bcQIobrF,The Dock of the Bay (Mono),76,163755,False,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,4,blues
(you make me feel like) a natural woman,aretha franklin,10,2018,5K09WxKdlkroDyEVyOSySy,Lady Soul (With Bonus Selections),68,165333,False,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,3,blues
100 years,five for fighting,45,2006,2lFlveK1y13WWp3vnQtrr3,The Battle for Everything,66,244600,False,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,4,acoustic
1985,bowling for soup,50,2005,5oQcOu1omDykbIPSdSQQNJ,A Hangover You Don't Deserve,71,193000,False,0.606,0.887,4,-4.404,1,0.0598,0.000242,0.0,0.337,0.903,119.974,4,punk-rock
2 be loved (am i ready),lizzo,47,2022,3yBOgD5rhyyQcnjhsk7qme,New Arrivals,3,187107,False,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,4,hip-hop
2! 3!,bts,42,2021,3KVOfGrYVjoP1w8T2HVltm,Wings,64,272537,False,0.442,0.928,7,-4.096,1,0.207,0.0257,0.0,0.1,0.601,169.847,4,k-pop
21 guns,green day,28,2010,3IHHqmfKJHyI0obINUdg1W,21st Century Breakdown,51,322040,False,0.26,0.719,5,-4.765,1,0.0364,0.048,0.0,0.454,0.419,159.072,4,punk
5 foot 9,tyler hubbard,49,2022,4rMLQycynM5w0fmZregNe7,Artsy & Colourful,1,189780,False,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,4,country
7 rings,ariana grande,47,2019,6ocbgoVGwYJhOv1GgI9NsF,"thank u, next",84,178626,True,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4,dance
